Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360G-blf-A4E_2_010107036,1083835,,,1,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-A4E_2_010107113,1017031,,1,1,,,,,,,,1,,,,,,,,,1,,,1,1,,,,,1,,1,1,,,
360G-blf-A4E_2_010107783,1097288,207168,,1,,,,,,,1,,,,,,,,,1,,,,1,,1,,,,,,1,,,1,
360G-blf-A4E_3_010109192,515869,32,,1,1,1,,,,,1,,,,,,,,,1,1,1,,1,,1,,,,,,1,1,,,
360G-blf-A4E_2_010107608,297946,1872,,1,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,1,,,
360G-blf-A4E_2_010107735,234343,2955941,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,1,1,1,,,,1,1,1,,
360G-blf-A4E_2_010106014,230601,56315,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,1
360G-blf-A4E_3_010109292,520815,19597,1,,,,,,,,1,1,,,,,,,,1,1,,,,,1,,,,,1,,,,,
360G-blf-A4E_2_010106843,1081200,1759177,1,1,,,,,,,1,,,,1,,,,,1,1,1,1,1,1,1,,,,1,,1,1,,,
360G-blf-A4E_3_010108257,1104317,32521,,1,,,,,,,1,1,,,1,,,1,1,1,1,,,1,,1,,,,,1,1,,,1,1
360G-blf-A4E_3_010108628,1073555,,,1,,1,,,,,,1,,,,,,,,1,,1,,,,,,,,1,1,1,,,,
360G-blf-A4E_2_010107125,1028156,116036,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010106249,1119912,262132,1,1,1,1,1,,,,,,,1,1,,,,,1,1,1,1,1,,,,,,,1,1,1,1,1,
360G-blf-A4E_2_010107069,1091755,2100,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,
360G-blf-A4E_2_010106649,1110290,18953,,1,,1,,,,,1,,,,,,,,,,1,1,,,,,,,,1,1,1,,,,
360G-blf-A4E_2_010107689,1086476,32815,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360G-blf-A4E_2_010105716,238071,,1,1,1,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,,,,1,,1,,1,
360G-blf-A4E_2_010104276,1107894,20759,1,1,1,1,1,,,,,1,,,1,,,,,1,,1,1,,,,,,,1,1,,,,,
360G-blf-A4E_2_010103828,302745,16312,1,,,,,,,,,1,,,,,,,,1,1,,,1,1,1,,,,,1,,,,,
360G-blf-A4E_2_010106859,1100003,180636,,1,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,1,,,,
360G-blf-A4E_2_010106257,290910,46849,,1,,,1,,,,,,,1,1,,,1,,1,,1,,,,1,,,,1,1,1,,,,1
360G-blf-A4E_2_010105305,1082837,,1,1,,1,,,,,1,1,,,1,,,,,1,,1,,1,,1,,,,1,1,1,1,,,
360G-blf-A4E_3_010109180,522138,6124,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,
360G-blf-A4E_3_010109160,700212,90576,1,1,,1,,,,,,1,,,,,,,,1,1,1,,,,,,,,,1,1,1,,1,
360G-blf-A4E_3_010108449,1114786,,1,1,,,,,,,1,1,,1,,,,,,1,,1,,,,1,,,,1,1,1,,,1,
360G-blf-A4E_3_010108303,227858,11748,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,1,,,
360G-blf-A4E_2_010105726,1091268,7985,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,1,,,
360G-blf-A4E_2_010103442,1098836,15217,,1,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,1,1,,,,
360G-blf-A4E_2_010105645,520908,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,1,,,,,
360G-blf-A4E_2_010095995,1097097,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010106162,1028237,54607,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010107459,1092769,7043,,1,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,,,,1,
360G-blf-A4E_2_010105502,1032999,45308,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010104832,1014251,12217,1,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,1,,,,
360G-blf-A4E_2_010104789,518767,18783,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
360G-blf-A4E_2_010106456,503367,4998,,,1,,,,,,,,,,,,,,,1,1,1,,1,1,1,,,,,,1,,,,
360G-blf-A4E_2_010107267,1091750,0,1,1,1,,,,,,,,,,1,,,,,1,,,,,,,,,,1,1,1,1,,,
360G-blf-A4E_2_010094129,1081723,2634,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,1,,,
360G-blf-A4E_2_010105580,522376,5211,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,,,
360G-blf-A4E_2_010106697,1064177,4361,,1,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,
360G-blf-A4E_2_010105149,1135774,175632,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
360G-blf-A4E_2_010104110,1100588,11089,1,1,,,,,,,,1,,,1,,,1,,1,1,,,,1,,,,,1,1,1,,,,
360G-blf-A4E_2_010101939,1132044,5339,1,1,,,,,,,,1,,1,1,,,,,1,,,,,,,,,1,,,,,,1,
360G-blf-A4E_2_010103883,1100192,,1,1,1,1,1,,,,1,1,,1,1,,,,,1,1,1,1,1,,1,,1,,1,1,,1,1,1,
360G-blf-A4E_2_010107335,1033047,31798,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
