Recipient Org:Identifier,Recipient Org:Charity Number,income,GENERAL CHARITABLE PURPOSES,EDUCATION/TRAINING,THE ADVANCEMENT OF HEALTH OR SAVING OF LIVES,DISABILITY,THE PREVENTION OR RELIEF OF POVERTY,OVERSEAS AID/FAMINE RELIEF,ACCOMMODATION/HOUSING,RELIGIOUS ACTIVITIES,ARTS/CULTURE/HERITAGE/SCIENCE,AMATEUR SPORT,ANIMALS,ENVIRONMENT/CONSERVATION/HERITAGE,ECONOMIC/COMMUNITY DEVELOPMENT/EMPLOYMENT,ARMED FORCES/EMERGENCY SERVICE EFFICIENCY,HUMAN RIGHTS/RELIGIOUS OR RACIAL HARMONY/EQUALITY OR DIVERSITY,RECREATION,OTHER CHARITABLE PURPOSES,CHILDREN/YOUNG PEOPLE,ELDERLY/OLD PEOPLE,PEOPLE WITH DISABILITIES,PEOPLE OF A PARTICULAR ETHNIC OR RACIAL ORIGIN,OTHER CHARITIES OR VOLUNTARY BODIES,OTHER DEFINED GROUPS,THE GENERAL PUBLIC/MANKIND,MAKES GRANTS TO INDIVIDUALS,MAKES GRANTS TO ORGANISATIONS,PROVIDES OTHER FINANCE,PROVIDES HUMAN RESOURCES,PROVIDES BUILDINGS/FACILITIES/OPEN SPACE,PROVIDES SERVICES,PROVIDES ADVOCACY/ADVICE/INFORMATION,SPONSORS OR UNDERTAKES RESEARCH,ACTS AS AN UMBRELLA OR RESOURCE BODY,OTHER CHARITABLE ACTIVITIES
360g-cabinetoffice-100th_mackworth_scout_group,1099856,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
360g-cabinetoffice-103rd_oxford_road_scout_group,1152394,18474,1,1,1,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,1,,,,
360g-cabinetoffice-1066_gymnastics,1148794,322151,,1,,,,,,,,1,,,,,,1,,1,,1,,1,,,,,,,1,1,,,,1
360g-cabinetoffice-113th_nottingham_scout_group,522450,3869,,1,,,,,,1,1,1,,1,,,,,,1,,1,,1,,,,,,,,,,,,1
360g-cabinetoffice-118th_1st_nansen_scout_group,1051436,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-123rd_manchester_scout_group,517136,,,1,,1,,,,1,,1,,,1,,,,,1,,1,,,,1,,,,,,1,,,,
360g-cabinetoffice-12th_morley_scout_group,1044184,8983,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1
360g-cabinetoffice-12th_stockport_scout_group,520250,9511,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-132nd_derby_scout_group,520636,6881,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-13th_coventry_scout_group,1035032,24784,1,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,1,,,,1
360g-cabinetoffice-169_brentry_scout_group,302179,15801,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
360g-cabinetoffice-19th_itchen_north_scout_group,302310,12315,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,
360g-cabinetoffice-1st_bromley_pensnett_scout_group,503346,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,
360g-cabinetoffice-1st_gillingham_scout_group,303393,7564,,1,,,,,,,1,1,,1,,,,1,,1,,,,,,,,,,1,,,,,,
360g-cabinetoffice-1st_pudsey_scout_group,1022623,7208,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,
360g-cabinetoffice-1st_sandy_scout_group,300476,,,1,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,1,,,,,
360g-cabinetoffice-1st_stretford_(longford)_scout_group,521676,56300,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,
360g-cabinetoffice-1st_worthing_scout_group,1044752,28986,1,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,
360g-cabinetoffice-20th_bradford_south_scout_group,507190,14284,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,1,,,,,
